iter	Passed	Remaining
860	76639	12372
861	76744	12286
862	76850	12199
863	76953	12113
864	77048	12024
865	77135	11935
866	77217	11845
867	77292	11754
868	77384	11665
869	77465	11575
870	77551	11485
871	77639	11396
872	77722	11306
873	77812	11217
874	77908	11129
875	78008	11042
876	78094	10952
877	78191	10864
878	78283	10776
879	78352	10684
880	78442	10595
881	78534	10506
882	78619	10417
883	78707	10328
884	78780	10237
885	78869	10148
886	78944	10057
887	79023	9966
888	79104	9876
889	79183	9786
890	79275	9698
891	79359	9608
892	79427	9517
893	79508	9427
894	79594	9337
895	79678	9248
896	79773	9160
897	79857	9070
898	79938	8980
899	80022	8891
900	80106	8801
901	80203	8713
902	80299	8625
903	80398	8537
904	80478	8447
905	80556	8357
906	80650	8269
907	80735	8180
908	80826	8091
909	80919	8003
910	81010	7914
911	81101	7825
912	81191	7736
913	81280	7647
914	81363	7558
915	81435	7467
916	81513	7378
917	81577	7286
918	81663	7197
919	81756	7109
920	81848	7020
921	81913	6929
922	81999	6840
923	82086	6751
924	82193	6664
925	82285	6575
926	82367	6486
927	82462	6397
928	82547	6308
929	82631	6219
930	82707	6129
931	82838	6043
932	82935	5955
933	83029	5867
934	83121	5778
935	83197	5688
936	83295	5600
937	83382	5511
938	83475	5422
939	83564	5333
940	83665	5245
941	83764	5157
942	83861	5069
943	83964	4980
944	84068	4892
945	84159	4804
946	84247	4715
947	84336	4626
948	84415	4536
949	84502	4447
950	84599	4358
951	84702	4270
952	84790	4181
953	84885	4092
954	84961	4003
955	85041	3914
956	85127	3824
957	85226	3736
958	85323	3647
959	85402	3558
960	85495	3469
961	85583	3380
962	85683	3292
963	85782	3203
964	85863	3114
965	85963	3025
966	86056	2936
967	86161	2848
968	86265	2759
969	86335	2670
970	86422	2581
971	86510	2492
972	86594	2402
973	86672	2313
974	86765	2224
975	86850	2135
976	86948	2046
977	87037	1957
978	87129	1868
979	87220	1780
980	87298	1690
981	87398	1602
982	87495	1513
983	87576	1424
984	87666	1335
985	87766	1246
986	87837	1156
987	87911	1067
988	88002	978
989	88085	889
990	88166	800
991	88276	711
992	88365	622
993	88447	533
994	88538	444
995	88616	355
996	88691	266
997	88779	177
998	88858	88
999	88921	0
